"last_name","first_name","name","team","player_id","year","PC1","PC2","PC3"
"Quinn"," Roman","Roman Quinn","PHI",596451,2021,-0.633328573502465,-5.90383548153068,0.290930970543631
"Franco"," Maikel","Maikel Franco","BAL",596748,2021,0.38698289405323,1.55359947698185,0.110108790018256
"Garcia"," Robel","Robel Garcia","HOU",596825,2021,1.9095378112146,-0.292710860185977,0.638966957888157
"Choi"," Ji-Man","Ji-Man Choi","TB",596847,2021,-1.90110922629886,1.61831383113409,0.288833938900393
"Bradley Jr."," Jackie","Jackie Bradley Jr.","MIL",598265,2021,0.626879285421576,-1.10161043948052,0.357547283624883
"Motter"," Taylor","Taylor Motter","COL",600301,2021,0.415098073342088,0.36792467631705,2.02416322980054
"La Stella"," Tommy","Tommy La Stella","SF",600303,2021,-0.65870927624187,1.27877892221234,0.158214122741662
"Severino"," Pedro","Pedro Severino","BAL",600474,2021,-0.771439114857433,1.11061010228226,0.423868067081275
"Nunez"," Renato","Renato Nunez","DET",600524,2021,-0.400784619630527,0.93881470302801,-0.598549755175168
"Candelario"," Jeimer","Jeimer Candelario","DET",600869,2021,-1.71501099980164,0.835325627205309,0.63628657692026
"Daza"," Yonathan","Yonathan Daza","COL",602074,2021,-0.127145409981253,-0.624813486104591,1.19856076913762
"Urias"," Ramon","Ramon Urias","BAL",602104,2021,-1.65753341009424,0.584636859089669,0.162775630701702
"Rondon"," Jose","Jose Rondon","STL",602922,2021,-1.34032262611984,-0.604072190092455,0.186470186367712
"Ahmed"," Nick","Nick Ahmed","ARI",605113,2021,0.450172618401578,-1.0319794932982,0.475109643834999
