"last_name","first_name","name","team","player_id","year","PC1","PC2","PC3","PC4","PC5"
"Marisnick"," Jake","Jake Marisnick","CHC",545350,2021,-0.405788742559364,-1.05637861218092,1.60362963754256,0.732508002083467,-0.0563517168706683
"Stassi"," Max","Max Stassi","LAA",545358,2021,-1.55081825232254,-0.791288581676353,-1.08030534005735,-1.08498542700001,-0.0487095410325191
"Trout"," Mike","Mike Trout","LAA",545361,2021,-3.56527783829981,-1.53414743245715,-0.00506609756013521,-1.11370730092166,2.49235687226988
"Herrera"," Odubel","Odubel Herrera","PHI",546318,2021,-1.95223944927731,1.78583801527132,-0.27490937903781,-0.656557715245547,-0.493813643229907
"Alford"," Anthony","Anthony Alford","PIT",546990,2021,-0.971844224682538,-1.92703323644663,3.29328686852584,-1.17632355714969,1.35100187039658
"Almora Jr."," Albert","Albert Almora Jr.","NYM",546991,2021,2.04807870037434,-0.414500112394085,-0.042753625615822,1.11378891459672,-0.64590341584384
"Poteet"," Cody","Cody Poteet","MIA",547001,2021,6.31744919570235,1.31751409052875,-1.23459132335366,-1.98343001197725,0.0332416215561849
"Ruiz"," Rio","Rio Ruiz","BAL",547004,2021,0.903821688456533,0.523213896767079,0.210403900103487,0.338152124564809,-0.234578832705921
"Wolters"," Tony","Tony Wolters","CHC",547172,2021,3.18883926766384,0.238089596967156,0.47642109491767,0.65809834891908,0.424448544547837
"Harper"," Bryce","Bryce Harper","PHI",547180,2021,-3.95908362686938,-1.40187305384253,-0.161221925896393,-2.53949538939312,0.162476620940379
"Perez"," Roberto","Roberto Perez","CLE",547379,2021,1.51488447723693,-1.03999883725565,-0.614722465502788,-1.26332813643104,0.859172172177899
"Kim"," Kwang Hyun","Kwang Hyun Kim","STL",547942,2021,4.76611681447804,2.17125757861786,0.122038411435934,0.0503904519346717,-0.529202118337939
"Abreu"," Jose","Jose Abreu","CWS",547989,2021,-3.04830237706589,-0.0783988584115199,-1.21249186080741,-1.59552851583762,-1.29084687435985
"Diaz"," Elias","Elias Diaz","COL",553869,2021,-1.75437375486334,0.0291842866356075,-1.31804890893693,0.353596156864743,-0.913653740381847
"Narvaez"," Omar","Omar Narvaez","MIL",553882,2021,-2.18255057911442,0.40484950246164,-1.36888299008543,0.757859552268796,-0.130659952180656
"Astudillo"," Willians","Willians Astudillo","MIN",553902,2021,-1.34433499334067,2.16658983837797,-1.53762302565109,2.71489224701928,-0.651573991474971
"Suarez"," Eugenio","Eugenio Suarez","CIN",553993,2021,-1.99861548203598,-1.1853100509981,-1.09962601346713,-0.582896208174596,-2.13702015009918
"Wheeler"," Zack","Zack Wheeler","PHI",554430,2021,4.55894074422425,0.975200995164515,-1.16210104775074,-0.773504047086283,1.95396594047136
"Polanco"," Gregory","Gregory Polanco","PIT",570256,2021,-1.96922503592732,-1.10176832208195,1.56409324778371,-0.20916337756913,-1.00501815135551
"Gonzalez"," Erik","Erik Gonzalez","PIT",570481,2021,0.18846238744866,2.1349438762488,0.11242359554127,-1.08987649122615,-0.36509074312523
"Urshela"," Gio","Gio Urshela","NYY",570482,2021,-1.82083538882328,1.0720044723246,-1.4156611668124,-1.41225585684858,-0.0166950975781555
"Schoop"," Jonathan","Jonathan Schoop","DET",570731,2021,-2.51726720043965,1.14234793555472,-1.08817158552743,-0.802914686919391,-1.63099784981054
"Adams"," Matt","Matt Adams","COL",571431,2021,1.25523149192684,0.467895207848725,-0.93047033945756,1.71831527419645,0.146473371271847
"Arenado"," Nolan","Nolan Arenado","STL",571448,2021,-3.28513818901624,0.72507898683598,-1.4572496277475,0.893464625989509,-1.5237744924583
"Barnhart"," Tucker","Tucker Barnhart","CIN",571466,2021,-1.54856682306193,0.277163715872383,-1.50292858750327,0.432860607986156,0.184440141634875
"Corbin"," Patrick","Patrick Corbin","WSH",571578,2021,5.81582552978629,1.95711909648713,-1.22142332251763,-1.82238392885561,-0.346357441034481
"Farmer"," Kyle","Kyle Farmer","CIN",571657,2021,-2.37518261488747,1.27811649846918,-0.498137285889274,0.682889499489671,-0.565454446898507
"Goodwin"," Brian","Brian Goodwin","CWS",571718,2021,-1.11949369000603,-0.282106527634531,-0.472621109349871,0.865819649812315,0.722283436350175
"Hamilton"," Billy","Billy Hamilton","CWS",571740,2021,0.222993755155799,0.456823731838906,5.57525282473101,0.88801828179391,1.02517988058142
"Haniger"," Mitch","Mitch Haniger","SEA",571745,2021,-2.9248345506529,-0.541048805247468,-1.1597077404213,-1.40683147652747,-1.49897232770142
"Hernandez"," Enrique","Enrique Hernandez","BOS",571771,2021,-3.31917159182391,-0.44225452255724,-0.970240932820636,0.174260305971766,-0.981034563473334
"Holt"," Brock","Brock Holt","TEX",571788,2021,-0.760909144211567,1.71135873540478,0.290607816526549,0.780754409866341,-0.24124187239435
"Lamb"," Jake","Jake Lamb","CWS",571875,2021,-1.36959840987899,-1.37258538671008,-1.08627671667749,0.999875513803477,-0.709672545313636
"Maile"," Luke","Luke Maile","MIL",571912,2021,0.135356536672266,0.51246972023115,-0.693535220003478,-0.416874920586703,2.81233543665633
"Marrero"," Deven","Deven Marrero","MIA",571918,2021,0.279409981211807,-1.51088578045709,3.11978366669083,3.25956345664147,-1.27132910533375
"Mikolas"," Miles","Miles Mikolas","STL",571945,2021,6.70528709731474,-1.74741564232365,-0.0611381234665787,0.773666432088458,0.155278882266083
"Muncy"," Max","Max Muncy","LAD",571970,2021,-3.51240936271955,-0.651854708940188,-1.21425482196868,-1.28873642574792,-1.15405759485196
"Myers"," Wil","Wil Myers","SD",571976,2021,-1.89485932305723,0.0436272253361083,0.296501258866079,-1.35046071752647,-1.04137725824194
"Naquin"," Tyler","Tyler Naquin","CIN",571980,2021,-2.50269119104179,0.773901417133082,-0.276697763944464,-0.894930983635596,-0.563679938675102
"Owings"," Chris","Chris Owings","COL",572008,2021,-1.39873092971856,-2.19115597724174,1.75896957546579,-1.7286025516148,1.61729027417925
