last_name,first_name,name,team,player_id,year,AB,PA,BB.,AVG,SLG,OBP,CSSB.,SB.,HBP.,SacBunt.,SacFly.,SweetSpot.,Barrel.,SolidContact.,Flare.Burner.,Under.,Topped.,Poor.Weak.,HardHit.,OutofZoneContact.,InZoneContact.,Whiff.,StraightAway.,Popup.,SprintSpeed
Owings, Chris,Chris Owings,COL,572008,2021,-0.947586232,-0.937395771,1.536086273,1.573840073,2.024914503,1.662730227,1.315672828,1.053279935,-0.755223947,-0.702738134,-1.024238431,0.13994072,1.570741741,-0.456916081,-0.045458777,-0.646448141,-0.423633382,-0.776579762,0.625468833,-0.397253817,-1.778199496,1.589404545,-0.587624082,-0.682529111,0.836232705
Piscotty, Stephen,Stephen Piscotty,OAK,572039,2021,-0.251790792,-0.280902234,-0.168409655,0.174935222,0.113327751,0.116955311,-0.372695849,-0.253088144,-0.012210424,-0.702738134,-1.024238431,0.21822197,0.505159183,-0.970565119,0.407273537,0.828575194,-0.559450522,-0.294450366,0.237627119,0.215903366,0.165413907,-0.038920535,-0.866393251,0.764879249,-0.532785668
Pollock, AJ,AJ Pollock,LAD,572041,2021,0.87753873,0.832282457,-0.120395685,1.191120822,1.385401844,0.934647839,0.279381445,0.45185286,0.237808299,-0.702738134,1.1501875,0.385967506,0.892643749,0.390604832,0.28743263,0.012604838,-0.472139503,-0.380544901,1.037055959,0.222871061,0.827069533,-0.448930447,0.204080358,-0.192964519,0.608062976
Seager, Kyle,Kyle Seager,SEA,572122,2021,2.049686433,2.012067942,0.287723058,0.069357498,0.704181838,0.150559113,-0.344296568,-0.306989623,-0.338249216,-0.702738134,1.1501875,0.542530006,1.183257174,0.621746899,-0.511506748,1.142409946,-0.95720072,-0.449420529,0.498826641,-0.062804444,0.144737168,0.183656274,-0.487267181,0.509454244,-0.703912965
Taylor, Michael A.,Michael A. Taylor,KC,572191,2021,1.407413719,1.336545608,-0.312451564,0.491668396,0.134181425,0.262571788,1.206273773,0.961664588,-0.09382934,-0.003533507,0.528922947,-0.027804816,0.07892616,-0.200091562,0.607008382,0.023065997,0.168141302,-0.47524889,0.506741778,-0.278802997,-0.134398799,0.33594567,0.505151061,-0.639958277,0.836232705
Thompson, Trayce,Trayce Thompson,CHC,572204,2021,-1.027870322,-1.008753764,2.976505367,0.57085169,2.622719814,1.438704876,1.315672828,1.867778131,-0.755223947,-0.702738134,-1.024238431,1.817396076,5.639329688,1.649044976,-0.551453717,-1.284578804,-0.918395822,-0.776579762,1.978957264,0.118355632,0.12406043,0.031366879,-1.546590024,-0.192964519,0.779190273
Voit III, Luke,Luke Voit III,NYY,572228,2021,-0.037699887,-0.028770659,0.263716073,0.425682318,0.697230613,0.632213616,-0.629532178,-0.57571644,1.273418748,-0.702738134,-1.024238431,0.497797863,1.861355165,0.647429351,0.740164945,-0.489530765,-0.821383579,-0.406373262,1.456558221,-1.059184866,-0.827069533,1.460544287,-0.554171782,-0.384533272,-1.046167558
Walker, Christian,Christian Walker,ARI,572233,2021,0.968527365,0.941698047,0.215702103,0.491668396,0.314913263,0.486597139,-0.629532178,-0.57571644,-0.127419273,-0.702738134,1.1501875,0.352418398,0.040177703,0.775841611,0.607008382,0.441512333,-0.549749298,-0.483858343,0.577978011,0.243774147,0.144737168,-0.085778811,-0.453814881,0.275314657,0.379893247
Zunino, Mike,Mike Zunino,TB,572287,2021,0.604572827,0.608694079,0.359744013,0.12214636,1.545280009,0.329779393,-0.629532178,-0.57571644,0.548517122,-0.702738134,1.1501875,0.095208577,3.508164573,-0.097361754,-0.910976438,0.535662759,-1.228835001,-0.225574738,1.044971096,-0.648090846,-0.847746271,1.261396615,-1.022503986,2.233573026,-0.418700804
Carpenter, Matt,Matt Carpenter,STL,572761,2021,-0.069813523,0.009286937,1.560093258,-0.498122772,-0.428867764,0.374584463,-0.270945431,-0.125273033,0.927746454,-0.702738134,1.1501875,1.582552326,1.028263347,1.366538005,0.660271007,0.671657818,-1.490768057,-0.509686704,0.649214244,0.076549461,-0.310151075,0.195370843,0.003366557,-0.639958277,-0.5898281
