last_name,first_name,name,team,player_id,year,HR.,SLG,OBP,SB.,Sac.,SweetSpot.,HPto1B,SprintSpeed
Poteet, Cody,Cody Poteet,MIA,547001,2021,-1.143454263,-1.645332061,-2.022486783,-0.57571644,1.553977559,-2.051934279,2.445887447,-2.187016203
Ruiz, Rio,Rio Ruiz,BAL,547004,2021,-0.137119452,-0.449721438,-0.342296657,0.430990958,-0.019640835,-0.586956601,0.635484656,-0.5898281
Wolters, Tony,Tony Wolters,CHC,547172,2021,-1.143454263,-1.471551447,-0.051063702,-0.57571644,0.252828263,-0.866532494,0.767150313,-0.817997829
Harper, Bryce,Bryce Harper,PHI,547180,2021,1.863864568,1.934548584,1.741139099,0.293640401,-0.274102332,0.900387148,-0.615339091,0.608062976
Perez, Roberto,Roberto Perez,CLE,547379,2021,0.938207577,-0.123013884,-0.331095389,-0.136712737,-0.219736906,-0.497492315,0.635484656,-1.160252423
Kim, Kwang Hyun,Kwang Hyun Kim,STL,547942,2021,-1.143454263,-1.269965935,-1.49602721,-0.57571644,1.058076734,-1.090193208,-0.549506262,0.493978112
Abreu, Jose,Jose Abreu,CWS,547989,2021,1.079016628,1.003084494,0.889842769,-0.501770071,-0.157541387,0.039293399,0.174654854,-0.133488643
Diaz, Elias,Elias Diaz,COL,553869,2021,1.089537187,0.884913676,0.430590801,-0.57571644,-0.43955518,-0.083719994,0.602568242,-0.532785668
Narvaez, Omar,Omar Narvaez,MIL,553882,2021,0.036179453,0.453937754,0.789031361,-0.57571644,-0.1957643,1.056949648,0.701317485,-0.875040262
Astudillo, Willians,Willians Astudillo,MIN,553902,2021,0.267672269,0.266254691,-0.140673842,-0.57571644,-0.3958441,0.29650322,1.326729358,-1.445464584
Suarez, Eugenio,Eugenio Suarez,CIN,553993,2021,1.430504428,0.634669593,0.161760381,-0.57571644,-0.303614089,0.240588041,0.207571269,-0.019403778
Wheeler, Zack,Zack Wheeler,PHI,554430,2021,-1.143454263,-1.012770626,-1.350410732,-0.57571644,1.047401778,-0.48630928,2.215472547,-2.015888906
Polanco, Gregory,Gregory Polanco,PIT,570256,2021,0.229274264,0.120278976,0.128156578,1.639354575,-0.02719312,0.184672863,-0.648255505,0.265808383
Gonzalez, Erik,Erik Gonzalez,PIT,570481,2021,-0.762266838,-0.25508715,-0.151875109,0.003291116,-0.4017835,-0.419211065,-0.450757019,0.43693568
Urshela, Gio,Gio Urshela,NYY,570482,2021,0.254232961,0.572108572,0.329779393,-0.447152068,-0.449339942,0.598445184,-0.022843632,-0.5898281
Schoop, Jonathan,Jonathan Schoop,DET,570731,2021,0.337241704,0.683328164,0.542603476,-0.417106815,-0.232232385,-0.083719994,0.075905611,0.151723519
